140101;0100;11;;;
140101;0200;11;;;
140101;0300;9;;;
140101;0400;6;;;
140101;0500;7;;;
140101;0600;4;;;
140101;0700;5;;;
140101;0800;7;;;
140101;0900;5;;;
140101;1000;8;;;
140101;1100;7;;;
140101;1200;7;;;
140101;1300;8;;;
140101;1400;7;;;
140101;1500;5;;;
140101;1600;6;;;
140101;1700;7;;;
140101;1800;4;;;
140101;1900;4;;;
140101;2000;21;;;
140101;2100;11;;;
140101;2200;5;;;
140101;2300;4;;;
140102;0000;4;;;
140102;0100;5;;;
140102;0200;5;;;
140102;0300;4;;;
140102;0400;4;;;
140102;0500;4;;;
140102;0600;4;;;
140102;0700;4;;;
140102;0800;4;;;
140102;0900;4;;;
140102;1000;4;;;
140102;1100;4;;;
140102;1200;4;;;
140102;1300;4;;;
140102;1400;4;;;
140102;1500;4;;;
140102;1600;4;;;
140102;1700;4;;;
140102;1800;4;;;
140102;1900;4;;;
140102;2000;5;;;
140102;2100;13;;;
140102;2200;11;;;
140102;2300;18;;;
140103;0000;16;;;
140103;0100;10;;;
140103;0200;5;;;
140103;0300;7;;;
140103;0400;5;;;
140103;0500;6;;;
140103;0600;5;;;
140103;0700;4;;;
140103;0800;4;;;
140103;0900;4;;;
140103;1000;4;;;
140103;1100;4;;;
140103;1200;4;;;
140103;1300;4;;;
140103;1400;4;;;
140103;1500;4;;;
140103;1600;4;;;
140103;1700;4;;;
140103;1800;4;;;
140103;1900;4;;;
140103;2000;4;;;
140103;2100;4;;;
140103;2200;5;;;
140103;2300;4;;;
140104;0000;4;;;
140104;0100;4;;;
140104;0200;4;;;
140104;0300;15;;;
140104;0400;4;;;
140104;0500;4;;;
140104;0600;4;;;
140104;0700;5;;;
140104;0800;4;;;
140104;0900;4;;;
140104;1000;4;;;
140104;1100;4;;;
140104;1200;4;;;
140104;1300;4;;;
140104;1400;4;;;
140104;1500;4;;;
140104;1600;4;;;
140104;1700;4;;;
140104;1800;4;;;
140104;1900;4;;;
140104;2000;4;;;
140104;2100;4;;;
140104;2200;4;;;
140104;2300;6;;;
140105;0000;4;;;
140105;0100;4;;;
140105;0200;4;;;
140105;0300;4;;;
140105;0400;4;;;
140105;0500;4;;;
140105;0600;4;;;
140105;0700;4;;;
140105;0800;4;;;
140105;0900;4;;;
140105;1000;4;;;
140105;1100;4;;;
140105;1200;4;;;
140105;1300;4;;;
140105;1400;4;;;
140105;1500;10;;;
140105;1600;5;;;
140105;1700;4;;;
140105;1800;4;;;
140105;1900;4;;;
140105;2000;4;;;
140105;2100;5;;;
140105;2200;4;;;
140105;2300;4;;;
140106;0000;4;;;
140106;0100;4;;;
140106;0200;4;;;
140106;0300;4;;;
140106;0400;4;;;
140106;0500;4;;;
140106;0600;4;;;
140106;0700;4;;;
140106;0800;4;;;
140106;0900;4;;;
140106;1000;4;;;
140106;1100;4;;;
140106;1200;4;;;
140106;1300;4;;;
140106;1400;4;;;
140106;1500;4;;;
140106;1600;4;;;
140106;1700;4;;;
140106;1800;4;;;
140106;1900;4;;;
140106;2000;4;;;
140106;2100;4;;;
140106;2200;4;;;
140106;2300;4;;;
140107;0000;4;;;
140107;0100;4;;;
140107;0200;4;;;
140107;0300;4;;;
140107;0400;4;;;
140107;0500;4;;;
140107;0600;4;;;
140107;0700;4;;;
140107;0800;4;;;
140107;0900;4;;;
140107;1000;4;;;
140107;1100;4;;;
140107;1200;4;;;
140107;1300;4;;;
140107;1400;4;;;
140107;1500;4;;;
140107;1600;4;;;
140107;1700;6;;;
140107;1800;4;;;
140107;1900;6;;;
140107;2000;7;;;
140107;2100;5;;;
140107;2200;4;;;
140107;2300;5;;;
140108;0000;7;;;
140108;0100;6;;;
140108;0200;6;;;
140108;0300;6;;;
140108;0400;6;;;
140108;0500;8;;;
140108;0600;9;;;
140108;0700;17;;;
140108;0800;12;;;
140108;0900;8;;;
140108;1000;7;;;
140108;1100;4;;;
140108;1200;4;;;
140108;1300;4;;;
140108;1400;4;;;
140108;1500;4;;;
140108;1600;4;;;
140108;1700;5;;;
140108;1800;4;;;
140108;1900;4;;;
140108;2000;4;;;
140108;2100;4;;;
140108;2200;5;;;
140108;2300;8;;;
140109;0000;9;;;
140109;0100;8;;;
140109;0200;4;;;
140109;0300;4;;;
140109;0400;4;;;
140109;0500;5;;;
140109;0600;7;;;
140109;0700;7;;;
140109;0800;6;;;
140109;0900;7;;;
140109;1000;6;;;
140109;1100;5;;;
140109;1200;13;;;
140109;1300;7;;;
140109;1400;4;;;
140109;1500;4;;;
140109;1600;4;;;
140109;1700;4;;;
140109;1800;4;;;
140109;1900;4;;;
140109;2000;6;;;
140109;2100;9;;;
140109;2200;8;;;
140109;2300;8;;;
140110;0000;10;;;
