FECHA (YYMMDD),HORA (HHMM),Registros
140101.0,100.0,34.0
140101.0,200.0,34.0
140101.0,300.0,27.0
140101.0,400.0,22.0
140101.0,500.0,22.0
140101.0,600.0,15.0
140101.0,700.0,19.0
140101.0,800.0,20.0
140101.0,900.0,25.0
140101.0,1000.0,24.0
140101.0,1100.0,22.0
140101.0,1200.0,21.0
140101.0,1300.0,26.0
140101.0,1400.0,27.0
140101.0,1500.0,18.0
140101.0,1600.0,25.0
140101.0,1700.0,23.0
140101.0,1800.0,14.0
140101.0,1900.0,16.0
140101.0,2000.0,38.0
140101.0,2100.0,31.0
140101.0,2200.0,14.0
140101.0,2300.0,24.0
140102.0,0.0,17.0
140102.0,100.0,14.0
140102.0,200.0,14.0
140102.0,300.0,10.0
140102.0,400.0,9.0
140102.0,500.0,12.0
140102.0,600.0,17.0
140102.0,700.0,14.0
140102.0,800.0,16.0
140102.0,900.0,12.0
140102.0,1000.0,14.0
140102.0,1100.0,17.0
140102.0,1200.0,18.0
140102.0,1300.0,14.0
140102.0,1400.0,19.0
140102.0,1500.0,18.0
140102.0,1600.0,16.0
140102.0,1700.0,20.0
140102.0,1800.0,21.0
140102.0,1900.0,21.0
140102.0,2000.0,27.0
140102.0,2100.0,35.0
140102.0,2200.0,32.0
140102.0,2300.0,37.0
140103.0,0.0,945.0
140103.0,100.0,-1.0
140103.0,200.0,-1.0
140103.0,300.0,-1.0
140103.0,400.0,-1.0
140103.0,500.0,-1.0
140103.0,600.0,-1.0
140103.0,700.0,-1.0
140103.0,800.0,-1.0
140103.0,900.0,8.0
140103.0,1000.0,12.0
140103.0,1100.0,19.0
140103.0,1200.0,27.0
140103.0,1300.0,19.0
140103.0,1400.0,12.0
140103.0,1500.0,14.0
140103.0,1600.0,19.0
140103.0,1700.0,17.0
140103.0,1800.0,14.0
140103.0,1900.0,14.0
140103.0,2000.0,16.0
140103.0,2100.0,24.0
140103.0,2200.0,27.0
140103.0,2300.0,12.0
140104.0,0.0,12.0
140104.0,100.0,15.0
140104.0,200.0,15.0
140104.0,300.0,27.0
140104.0,400.0,10.0
140104.0,500.0,13.0
140104.0,600.0,26.0
140104.0,700.0,14.0
140104.0,800.0,26.0
140104.0,900.0,19.0
140104.0,1000.0,21.0
140104.0,1100.0,12.0
140104.0,1200.0,15.0
140104.0,1300.0,13.0
140104.0,1400.0,24.0
140104.0,1500.0,19.0
140104.0,1600.0,20.0
140104.0,1700.0,21.0
140104.0,1800.0,20.0
140104.0,1900.0,20.0
140104.0,2000.0,14.0
140104.0,2100.0,20.0
140104.0,2200.0,23.0
140104.0,2300.0,14.0
140105.0,0.0,12.0
140105.0,100.0,10.0
140105.0,200.0,12.0
140105.0,300.0,7.0
140105.0,400.0,6.0
140105.0,500.0,5.0
140105.0,600.0,4.0
140105.0,700.0,8.0
140105.0,800.0,7.0
140105.0,900.0,9.0
140105.0,1000.0,15.0
140105.0,1100.0,16.0
140105.0,1200.0,16.0
140105.0,1300.0,23.0
140105.0,1400.0,33.0
140105.0,1500.0,45.0
140105.0,1600.0,21.0
140105.0,1700.0,24.0
140105.0,1800.0,19.0
140105.0,1900.0,22.0
140105.0,2000.0,28.0
140105.0,2100.0,23.0
140105.0,2200.0,20.0
140105.0,2300.0,12.0
140106.0,0.0,10.0
140106.0,100.0,7.0
140106.0,200.0,10.0
140106.0,300.0,15.0
140106.0,400.0,4.0
140106.0,500.0,14.0
140106.0,600.0,16.0
140106.0,700.0,11.0
140106.0,800.0,9.0
140106.0,900.0,19.0
140106.0,1000.0,19.0
140106.0,1100.0,15.0
140106.0,1200.0,24.0
140106.0,1300.0,21.0
140106.0,1400.0,19.0
140106.0,1500.0,19.0
140106.0,1600.0,35.0
140106.0,1700.0,25.0
140106.0,1800.0,20.0
140106.0,1900.0,22.0
140106.0,2000.0,21.0
140106.0,2100.0,20.0
140106.0,2200.0,20.0
140106.0,2300.0,16.0
140107.0,0.0,13.0
140107.0,100.0,13.0
140107.0,200.0,10.0
140107.0,300.0,14.0
140107.0,400.0,20.0
140107.0,500.0,17.0
140107.0,600.0,25.0
140107.0,700.0,18.0
140107.0,800.0,12.0
140107.0,900.0,18.0
140107.0,1000.0,22.0
140107.0,1100.0,26.0
140107.0,1200.0,23.0
140107.0,1300.0,24.0
140107.0,1400.0,26.0
140107.0,1500.0,24.0
140107.0,1600.0,31.0
140107.0,1700.0,45.0
140107.0,1800.0,33.0
140107.0,1900.0,32.0
140107.0,2000.0,41.0
140107.0,2100.0,37.0
140107.0,2200.0,30.0
140107.0,2300.0,21.0
