FECHA (YYMMDD),Registros
140101.0,24.0
140102.0,18.5
140103.0,383.292
140104.0,18.0417
140105.0,16.5417
140106.0,17.125
140107.0,23.9583
140108.0,33.9166
140109.0,26.5
140110.0,22.6667
140111.0,23.7083
140112.0,26.3333
140113.0,22.9167
140114.0,28.2917
140115.0,46.3333
140116.0,44.8333
140117.0,40.2083
140118.0,27.4167
140119.0,26.125
140120.0,27.7083
140121.0,19.7917
140122.0,12.2083
140123.0,11.0833
140124.0,19.0
140125.0,17.3333
140126.0,17.625
140127.0,20.6667
140128.0,21.9167
140129.0,24.9167
140130.0,19.5417
140131.0,13.9167
140201.0,20.625
140202.0,15.0
140203.0,14.5833
140204.0,19.5
140205.0,15.0833
140206.0,20.9167
140207.0,17.5
140208.0,16.7917
140209.0,15.7083
140210.0,19.0417
140211.0,18.5833
140212.0,33.1666
140213.0,56.0833
140214.0,45.625
140215.0,44.625
140216.0,29.25
140217.0,24.4167
140218.0,27.5833
140219.0,39.375
140220.0,35.0
140221.0,32.1666
140222.0,31.5
140223.0,20.5
140224.0,53.5833
140225.0,48.7083
140226.0,32.75
140227.0,29.4583
140228.0,42.9166
140301.0,34.5
140302.0,31.2083
140303.0,27.6667
140304.0,34.9166
140305.0,40.3333
140306.0,63.9583
140307.0,48.6666
140308.0,35.7916
140309.0,20.125
140310.0,28.7273
140311.0,16.875
140312.0,17.75
140313.0,30.4167
140314.0,25.0833
140315.0,15.9583
140316.0,18.4583
140317.0,21.125
140318.0,36.5217
140319.0,28.25
140320.0,46.5
140321.0,47.8333
140322.0,34.7916
140323.0,22.875
140324.0,36.3478
140325.0,63.4166
140326.0,64.125
140327.0,45.3333
140328.0,47.2083
140329.0,22.9167
140330.0,26.9167
140331.0,51.875
140401.0,66.0416
140402.0,44.3333
140403.0,43.7222
140404.0,332.04699999999997
140405.0,48.5416
140406.0,31.375
140407.0,73.3181
140408.0,48.625
140409.0,61.25
140410.0,69.125
140411.0,58.2916
140412.0,63.6666
140413.0,97.4583
140414.0,47.3333
140415.0,59.2916
140416.0,80.3333
140417.0,85.5416
140418.0,81.5416
140419.0,66.6666
140420.0,91.0416
140421.0,27.8333
140422.0,22.3333
140423.0,25.7917
140424.0,68.625
140425.0,95.125
140426.0,64.0
140427.0,131.208
140428.0,93.5
140429.0,144.417
140430.0,45.875
140501.0,62.0416
140502.0,49.4583
140503.0,18.9167
140504.0,77.5833
140505.0,93.4781
140506.0,35.5833
140507.0,24.0417
140508.0,28.0833
140509.0,44.5416
140510.0,68.6666
140511.0,102.792
140512.0,58.25
140513.0,66.375
140514.0,57.4583
140515.0,46.7083
140516.0,221.105
140517.0,181.5
140518.0,37.7083
140519.0,62.2083
140520.0,53.5
140521.0,79.4166
140522.0,137.0
140523.0,226.75
140524.0,187.917
140525.0,70.0
140526.0,116.435
140527.0,156.625
140528.0,45.0416
140529.0,50.2916
140530.0,47.0
140531.0,43.1666
140601.0,30.6667
140602.0,26.625
140603.0,50.5
140604.0,62.1666
140605.0,50.0833
140606.0,37.2083
140607.0,38.4166
140608.0,44.625
140609.0,55.2083
140610.0,29.2083
140611.0,83.0435
140612.0,132.167
140613.0,47.9583
140614.0,30.0417
140615.0,130.625
140616.0,141.083
140617.0,214.208
140618.0,222.042
140619.0,186.542
140620.0,79.0416
140621.0,42.375
140622.0,50.6666
140623.0,111.917
140624.0,194.083
140625.0,222.565
140626.0,138.292
140627.0,196.292
