FECHA (YYMMDD),HORA (HHMM),Registros
140101.0,100.0,-1.0
140101.0,200.0,-1.0
140101.0,300.0,-1.0
140101.0,400.0,-1.0
140101.0,500.0,-1.0
140101.0,600.0,-1.0
140101.0,700.0,-1.0
140101.0,800.0,-1.0
140101.0,900.0,-1.0
140101.0,1000.0,-1.0
140101.0,1100.0,-1.0
140101.0,1200.0,-1.0
140101.0,1300.0,-1.0
140101.0,1400.0,-1.0
140101.0,1500.0,-1.0
140101.0,1600.0,-1.0
140101.0,1700.0,-1.0
140101.0,1800.0,-1.0
140101.0,1900.0,-1.0
140101.0,2000.0,-1.0
140101.0,2100.0,-1.0
140101.0,2200.0,-1.0
140101.0,2300.0,-1.0
140102.0,0.0,-1.0
140102.0,100.0,-1.0
140102.0,200.0,-1.0
140102.0,300.0,-1.0
140102.0,400.0,-1.0
140102.0,500.0,-1.0
140102.0,600.0,-1.0
140102.0,700.0,-1.0
140102.0,800.0,-1.0
140102.0,900.0,-1.0
140102.0,1000.0,-1.0
140102.0,1100.0,-1.0
140102.0,1200.0,-1.0
140102.0,1300.0,-1.0
140102.0,1400.0,-1.0
140102.0,1500.0,-1.0
140102.0,1600.0,-1.0
140102.0,1700.0,-1.0
140102.0,1800.0,-1.0
140102.0,1900.0,-1.0
140102.0,2000.0,-1.0
140102.0,2100.0,-1.0
140102.0,2200.0,-1.0
140102.0,2300.0,-1.0
140103.0,0.0,-1.0
140103.0,100.0,-1.0
140103.0,200.0,-1.0
140103.0,300.0,-1.0
140103.0,400.0,-1.0
140103.0,500.0,-1.0
140103.0,600.0,-1.0
140103.0,700.0,-1.0
140103.0,800.0,-1.0
140103.0,900.0,-1.0
140103.0,1000.0,-1.0
140103.0,1100.0,-1.0
140103.0,1200.0,-1.0
140103.0,1300.0,-1.0
140103.0,1400.0,-1.0
140103.0,1500.0,-1.0
140103.0,1600.0,-1.0
140103.0,1700.0,-1.0
140103.0,1800.0,-1.0
140103.0,1900.0,-1.0
140103.0,2000.0,-1.0
140103.0,2100.0,-1.0
140103.0,2200.0,-1.0
140103.0,2300.0,-1.0
140104.0,0.0,-1.0
140104.0,100.0,-1.0
140104.0,200.0,-1.0
140104.0,300.0,-1.0
140104.0,400.0,-1.0
140104.0,500.0,-1.0
140104.0,600.0,-1.0
140104.0,700.0,-1.0
140104.0,800.0,-1.0
140104.0,900.0,-1.0
140104.0,1000.0,-1.0
140104.0,1100.0,-1.0
140104.0,1200.0,-1.0
140104.0,1300.0,-1.0
140104.0,1400.0,-1.0
140104.0,1500.0,-1.0
140104.0,1600.0,-1.0
140104.0,1700.0,-1.0
140104.0,1800.0,-1.0
140104.0,1900.0,-1.0
140104.0,2000.0,-1.0
140104.0,2100.0,-1.0
140104.0,2200.0,-1.0
140104.0,2300.0,-1.0
140105.0,0.0,-1.0
140105.0,100.0,-1.0
140105.0,200.0,-1.0
140105.0,300.0,-1.0
140105.0,400.0,-1.0
140105.0,500.0,-1.0
140105.0,600.0,-1.0
140105.0,700.0,-1.0
140105.0,800.0,-1.0
140105.0,900.0,-1.0
140105.0,1000.0,-1.0
140105.0,1100.0,-1.0
140105.0,1200.0,-1.0
140105.0,1300.0,-1.0
140105.0,1400.0,-1.0
140105.0,1500.0,-1.0
140105.0,1600.0,-1.0
140105.0,1700.0,-1.0
140105.0,1800.0,-1.0
140105.0,1900.0,-1.0
140105.0,2000.0,-1.0
140105.0,2100.0,-1.0
140105.0,2200.0,-1.0
140105.0,2300.0,-1.0
140106.0,0.0,-1.0
140106.0,100.0,-1.0
140106.0,200.0,-1.0
140106.0,300.0,-1.0
140106.0,400.0,-1.0
140106.0,500.0,-1.0
140106.0,600.0,-1.0
140106.0,700.0,-1.0
140106.0,800.0,-1.0
140106.0,900.0,-1.0
140106.0,1000.0,-1.0
140106.0,1100.0,-1.0
140106.0,1200.0,-1.0
140106.0,1300.0,-1.0
140106.0,1400.0,-1.0
140106.0,1500.0,-1.0
140106.0,1600.0,-1.0
140106.0,1700.0,-1.0
140106.0,1800.0,-1.0
140106.0,1900.0,-1.0
140106.0,2000.0,-1.0
140106.0,2100.0,-1.0
140106.0,2200.0,-1.0
140106.0,2300.0,-1.0
140107.0,0.0,-1.0
140107.0,100.0,-1.0
140107.0,200.0,-1.0
140107.0,300.0,-1.0
140107.0,400.0,-1.0
140107.0,500.0,-1.0
140107.0,600.0,-1.0
140107.0,700.0,-1.0
