FECHA (YYMMDD),HORA (HHMM),Registros
140101.0,100.0,22.0
140101.0,200.0,22.0
140101.0,300.0,21.0
140101.0,400.0,21.0
140101.0,500.0,20.0
140101.0,600.0,19.0
140101.0,700.0,19.0
140101.0,800.0,17.0
140101.0,900.0,15.0
140101.0,1000.0,15.0
140101.0,1100.0,16.0
140101.0,1200.0,14.0
140101.0,1300.0,15.0
140101.0,1400.0,15.0
140101.0,1500.0,15.0
140101.0,1600.0,14.0
140101.0,1700.0,15.0
140101.0,1800.0,16.0
140101.0,1900.0,16.0
140101.0,2000.0,16.0
140101.0,2100.0,17.0
140101.0,2200.0,17.0
140101.0,2300.0,17.0
140102.0,0.0,17.0
140102.0,100.0,16.0
140102.0,200.0,15.0
140102.0,300.0,14.0
140102.0,400.0,14.0
140102.0,500.0,13.0
140102.0,600.0,12.0
140102.0,700.0,12.0
140102.0,800.0,12.0
140102.0,900.0,12.0
140102.0,1000.0,11.0
140102.0,1100.0,10.0
140102.0,1200.0,10.0
140102.0,1300.0,9.0
140102.0,1400.0,9.0
140102.0,1500.0,9.0
140102.0,1600.0,10.0
140102.0,1700.0,11.0
140102.0,1800.0,12.0
140102.0,1900.0,13.0
140102.0,2000.0,15.0
140102.0,2100.0,17.0
140102.0,2200.0,18.0
140102.0,2300.0,19.0
140103.0,0.0,20.0
140103.0,100.0,21.0
140103.0,200.0,20.0
140103.0,300.0,20.0
140103.0,400.0,19.0
140103.0,500.0,18.0
140103.0,600.0,18.0
140103.0,700.0,17.0
140103.0,800.0,17.0
140103.0,900.0,17.0
140103.0,1000.0,17.0
140103.0,1100.0,17.0
140103.0,1200.0,16.0
140103.0,1300.0,16.0
140103.0,1400.0,15.0
140103.0,1500.0,14.0
140103.0,1600.0,14.0
140103.0,1700.0,15.0
140103.0,1800.0,16.0
140103.0,1900.0,18.0
140103.0,2000.0,19.0
140103.0,2100.0,21.0
140103.0,2200.0,21.0
140103.0,2300.0,22.0
140104.0,0.0,22.0
140104.0,100.0,23.0
140104.0,200.0,21.0
140104.0,300.0,20.0
140104.0,400.0,19.0
140104.0,500.0,18.0
140104.0,600.0,17.0
140104.0,700.0,16.0
140104.0,800.0,15.0
140104.0,900.0,14.0
140104.0,1000.0,15.0
140104.0,1100.0,16.0
140104.0,1200.0,16.0
140104.0,1300.0,15.0
140104.0,1400.0,14.0
140104.0,1500.0,13.0
140104.0,1600.0,13.0
140104.0,1700.0,13.0
140104.0,1800.0,14.0
140104.0,1900.0,15.0
140104.0,2000.0,16.0
140104.0,2100.0,17.0
140104.0,2200.0,17.0
140104.0,2300.0,18.0
140105.0,0.0,18.0
140105.0,100.0,17.0
140105.0,200.0,15.0
140105.0,300.0,14.0
140105.0,400.0,14.0
140105.0,500.0,13.0
140105.0,600.0,12.0
140105.0,700.0,11.0
140105.0,800.0,9.0
140105.0,900.0,9.0
140105.0,1000.0,9.0
140105.0,1100.0,9.0
140105.0,1200.0,9.0
140105.0,1300.0,9.0
140105.0,1400.0,9.0
140105.0,1500.0,15.0
140105.0,1600.0,19.0
140105.0,1700.0,22.0
140105.0,1800.0,21.0
140105.0,1900.0,21.0
140105.0,2000.0,21.0
140105.0,2100.0,22.0
140105.0,2200.0,22.0
140105.0,2300.0,22.0
140106.0,0.0,22.0
140106.0,100.0,22.0
140106.0,200.0,20.0
140106.0,300.0,19.0
140106.0,400.0,17.0
140106.0,500.0,16.0
140106.0,600.0,16.0
140106.0,700.0,15.0
140106.0,800.0,14.0
140106.0,900.0,13.0
140106.0,1000.0,13.0
140106.0,1100.0,14.0
140106.0,1200.0,14.0
140106.0,1300.0,14.0
140106.0,1400.0,14.0
140106.0,1500.0,15.0
