FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190601;0100;15;;;
190601;0200;12;;;
190601;0300;11;;;
190601;0400;10;;;
190601;0500;8;;;
190601;0600;7;;;
190601;0700;10;;;
190601;0800;12;;;
190601;0900;12;;;
190601;1000;10;;;
190601;1100;6;;;
190601;1200;4;;;
190601;1300;8;;;
190601;1400;8;;;
190601;1500;21;;;
190601;1600;27;;;
190601;1700;51;;;
190601;1800;41;;;
190601;1900;51;;;
190601;2000;14;;;
190601;2100;13;;;
190601;2200;16;;;
190601;2300;23;;;
190602;0000;13;;;
190602;0100;15;;;
190602;0200;10;;;
190602;0300;9;;;
190602;0400;10;;;
190602;0500;8;;;
190602;0600;6;;;
190602;0700;9;;;
190602;0800;11;;;
190602;0900;19;;;
190602;1000;20;;;
190602;1100;20;;;
190602;1200;10;;;
190602;1300;9;;;
190602;1400;8;;;
190602;1500;11;;;
190602;1600;12;;;
190602;1700;16;;;
190602;1800;31;;;
190602;1900;68;;;
190602;2000;55;;;
190602;2100;43;;;
190602;2200;43;;;
190602;2300;34;;;
190603;0000;22;;;
190603;0100;24;;;
190603;0200;14;;;
190603;0300;15;;;
190603;0400;12;;;
190603;0500;11;;;
190603;0600;13;;;
190603;0700;19;;;
190603;0800;38;;;
190603;0900;31;;;
190603;1000;29;;;
190603;1100;61;;;
190603;1200;73;;;
190603;1300;30;;;
190603;1400;39;;;
190603;1500;66;;;
190603;1600;132;;;
190603;1700;127;;;
190603;1800;156;;;
190603;1900;175;;;
190603;2000;132;;;
190603;2100;46;;;
190603;2200;33;;;
190603;2300;14;;;
190604;0000;22;;;
190604;0100;13;;;
190604;0200;20;;;
190604;0300;18;;;
190604;0400;13;;;
190604;0500;13;;;
190604;0600;13;;;
190604;0700;9;;;
190604;0800;8;;;
190604;0900;8;;;
190604;1000;11;;;
190604;1100;9;;;
190604;1200;9;;;
190604;1300;16;;;
190604;1400;16;;;
190604;1500;21;;;
190604;1600;17;;;
190604;1700;10;;;
190604;1800;12;;;
190604;1900;18;;;
190604;2000;19;;;
190604;2100;26;;;
190604;2200;15;;;
190604;2300;22;;;
190605;0000;25;;;
190605;0100;17;;;
190605;0200;19;;;
190605;0300;14;;;
190605;0400;22;;;
190605;0500;15;;;
190605;0600;12;;;
190605;0700;17;;;
190605;0800;21;;;
190605;0900;40;;;
190605;1000;32;;;
190605;1100;11;;;
190605;1200;18;;;
190605;1300;21;;;
190605;1400;14;;;
190605;1500;15;;;
190605;1600;22;;;
190605;1700;21;;;
190605;1800;21;;;
190605;1900;13;;;
190605;2000;16;;;
190605;2100;20;;;
190605;2200;12;;;
190605;2300;16;;;
190606;0000;18;;;
190606;0100;20;;;
190606;0200;8;;;
190606;0300;7;;;
190606;0400;7;;;
190606;0500;8;;;
190606;0600;12;;;
190606;0700;16;;;
190606;0800;11;;;
190606;0900;21;;;
190606;1000;19;;;
190606;1100;14;;;
190606;1200;16;;;
190606;1300;13;;;
190606;1400;18;;;
190606;1500;10;;;
190606;1600;10;;;
190606;1700;17;;;
190606;1800;32;;;
190606;1900;89;;;
190606;2000;146;;;
190606;2100;97;;;
190606;2200;98;;;
190606;2300;66;;;
190607;0000;52;;;
190607;0100;36;;;
190607;0200;22;;;
190607;0300;16;;;
190607;0400;18;;;
190607;0500;11;;;
190607;0600;16;;;
190607;0700;18;;;
190607;0800;26;;;
190607;0900;38;;;
190607;1000;43;;;
190607;1100;22;;;
190607;1200;20;;;
190607;1300;11;;;
190607;1400;13;;;
190607;1500;30;;;
190607;1600;25;;;
190607;1700;33;;;
190607;1800;42;;;
190607;1900;96;;;
190607;2000;120;;;
190607;2100;152;;;
190607;2200;116;;;
190607;2300;54;;;
190608;0000;70;;;
190608;0100;53;;;
190608;0200;22;;;
190608;0300;27;;;
190608;0400;21;;;
190608;0500;12;;;
190608;0600;10;;;
190608;0700;13;;;
190608;0800;19;;;
190608;0900;35;;;
190608;1000;39;;;
190608;1100;45;;;
190608;1200;16;;;
190608;1300;12;;;
190608;1400;11;;;
190608;1500;15;;;
190608;1600;15;;;
190608;1700;36;;;
190608;1800;34;;;
190608;1900;61;;;
190608;2000;66;;;
190608;2100;54;;;
190608;2200;57;;;
190608;2300;59;;;
190609;0000;53;;;
190609;0100;25;;;
190609;0200;8;;;
190609;0300;15;;;
190609;0400;6;;;
190609;0500;18;;;
190609;0600;11;;;
190609;0700;12;;;
190609;0800;10;;;
190609;0900;13;;;
190609;1000;14;;;
190609;1100;13;;;
190609;1200;10;;;
190609;1300;6;;;
190609;1400;8;;;
190609;1500;17;;;
190609;1600;14;;;
190609;1700;35;;;
190609;1800;12;;;
190609;1900;15;;;
190609;2000;35;;;
190609;2100;38;;;
190609;2200;42;;;
190609;2300;39;;;
190610;0000;33;;;
190610;0100;35;;;
190610;0200;30;;;
190610;0300;22;;;
190610;0400;17;;;
190610;0500;22;;;
190610;0600;10;;;
190610;0700;13;;;
190610;0800;100;;;
190610;0900;39;;;
190610;1000;29;;;
190610;1100;18;;;
190610;1200;27;;;
190610;1300;17;;;
190610;1400;20;;;
190610;1500;15;;;
190610;1600;31;;;
190610;1700;147;;;
190610;1800;158;;;
190610;1900;138;;;
190610;2000;144;;;
190610;2100;120;;;
190610;2200;139;;;
190610;2300;188;;;
190611;0000;133;;;
190611;0100;75;;;
190611;0200;47;;;
190611;0300;69;;;
190611;0400;147;;;
190611;0500;43;;;
190611;0600;32;;;
190611;0700;67;;;
190611;0800;47;;;
190611;0900;64;;;
190611;1000;72;;;
190611;1100;31;;;
190611;1200;25;;;
190611;1300;28;;;
190611;1400;51;;;
190611;1500;57;;;
190611;1600;68;;;
190611;1700;48;;;
190611;1800;72;;;
190611;1900;108;;;
190611;2000;92;;;
190611;2100;89;;;
190611;2200;360;;;
190611;2300;349;;;
190612;0000;178;;;
190612;0100;176;;;
190612;0200;367;;;
190612;0300;210;;;
190612;0400;24;;;
190612;0500;23;;;
190612;0600;14;;;
190612;0700;18;;;
190612;0800;17;;;
190612;0900;22;;;
190612;1000;22;;;
190612;1100;28;;;
190612;1200;5;;;
190612;1300;4;;;
190612;1400;6;;;
190612;1500;17;;;
190612;1600;12;;;
190612;1700;12;;;
190612;1800;25;;;
190612;1900;43;;;
190612;2000;37;;;
190612;2100;24;;;
190612;2200;36;;;
190612;2300;23;;;
190613;0000;9;;;
190613;0100;8;;;
190613;0200;6;;;
190613;0300;8;;;
190613;0400;8;;;
190613;0500;8;;;
190613;0600;7;;;
190613;0700;17;;;
190613;0800;21;;;
190613;0900;28;;;
190613;1000;33;;;
190613;1100;;;6;
190613;1200;9;;;
190613;1300;11;;;
190613;1400;12;;;
190613;1500;16;;;
190613;1600;33;;;
190613;1700;45;;;
190613;1800;106;;;
190613;1900;100;;;
190613;2000;51;;;
190613;2100;38;;;
190613;2200;29;;;
190613;2300;11;;;
190614;0000;16;;;
190614;0100;8;;;
190614;0200;14;;;
190614;0300;11;;;
190614;0400;28;;;
190614;0500;31;;;
190614;0600;33;;;
190614;0700;21;;;
190614;0800;126;;;
190614;0900;182;;;
190614;1000;30;;;
190614;1100;19;;;
190614;1200;16;;;
190614;1300;20;;;
190614;1400;26;;;
190614;1500;25;;;
190614;1600;25;;;
190614;1700;43;;;
190614;1800;104;;;
190614;1900;163;;;
190614;2000;240;;;
190614;2100;212;;;
190614;2200;267;;;
190614;2300;181;;;
190615;0000;277;;;
190615;0100;350;;;
190615;0200;432;;;
190615;0300;180;;;
190615;0400;93;;;
190615;0500;79;;;
190615;0600;74;;;
190615;0700;73;;;
190615;0800;83;;;
190615;0900;134;;;
190615;1000;149;;;
190615;1100;34;;;
190615;1200;54;;;
190615;1300;19;;;
190615;1400;19;;;
190615;1500;19;;;
190615;1600;12;;;
190615;1700;17;;;
190615;1800;36;;;
190615;1900;33;;;
190615;2000;35;;;
190615;2100;20;;;
190615;2200;17;;;
190615;2300;23;;;
190616;0000;12;;;
190616;0100;11;;;
190616;0200;12;;;
190616;0300;91;;;
190616;0400;20;;;
190616;0500;21;;;
190616;0600;13;;;
190616;0700;14;;;
190616;0800;22;;;
190616;0900;29;;;
190616;1000;22;;;
190616;1100;17;;;
190616;1200;19;;;
190616;1300;11;;;
190616;1400;12;;;
190616;1500;10;;;
190616;1600;18;;;
190616;1700;23;;;
190616;1800;32;;;
190616;1900;38;;;
190616;2000;108;;;
190616;2100;339;;;
190616;2200;378;;;
190616;2300;214;;;
190617;0000;172;;;
190617;0100;105;;;
190617;0200;142;;;
190617;0300;102;;;
190617;0400;109;;;
190617;0500;66;;;
190617;0600;34;;;
190617;0700;37;;;
190617;0800;39;;;
190617;0900;45;;;
190617;1000;60;;;
190617;1100;73;;;
190617;1200;109;;;
190617;1300;68;;;
190617;1400;55;;;
190617;1500;67;;;
190617;1600;61;;;
190617;1700;67;;;
190617;1800;209;;;
190617;1900;261;;;
190617;2000;243;;;
190617;2100;104;;;
190617;2200;78;;;
190617;2300;66;;;
190618;0000;58;;;
190618;0100;41;;;
190618;0200;29;;;
190618;0300;24;;;
190618;0400;26;;;
190618;0500;25;;;
190618;0600;23;;;
190618;0700;32;;;
190618;0800;35;;;
190618;0900;56;;;
190618;1000;34;;;
190618;1100;32;;;
190618;1200;21;;;
190618;1300;21;;;
190618;1400;26;;;
190618;1500;19;;;
190618;1600;28;;;
190618;1700;53;;;
190618;1800;78;;;
190618;1900;113;;;
190618;2000;83;;;
190618;2100;84;;;
190618;2200;85;;;
190618;2300;55;;;
190619;0000;36;;;
190619;0100;25;;;
190619;0200;25;;;
190619;0300;50;;;
190619;0400;38;;;
190619;0500;30;;;
190619;0600;31;;;
190619;0700;94;;;
190619;0800;138;;;
190619;0900;182;;;
190619;1000;101;;;
190619;1100;76;;;
190619;1200;106;;;
190619;1300;87;;;
190619;1400;61;;;
190619;1500;47;;;
190619;1600;66;;;
190619;1700;129;;;
190619;1800;309;;;
190619;1900;331;;;
190619;2000;327;;;
190619;2100;314;;;
190619;2200;238;;;
190619;2300;254;;;
190620;0000;178;;;
190620;0100;91;;;
190620;0200;50;;;
190620;0300;40;;;
190620;0400;34;;;
190620;0500;39;;;
190620;0600;34;;;
190620;0700;38;;;
190620;0800;37;;;
190620;0900;60;;;
190620;1000;70;;;
190620;1100;65;;;
190620;1200;66;;;
190620;1300;112;;;
190620;1400;86;;;
190620;1500;89;;;
190620;1600;108;;;
190620;1700;158;;;
190620;1800;303;;;
190620;1900;177;;;
190620;2000;179;;;
190620;2100;111;;;
190620;2200;53;;;
190620;2300;67;;;
190621;0000;66;;;
190621;0100;44;;;
190621;0200;21;;;
190621;0300;24;;;
190621;0400;43;;;
190621;0500;11;;;
190621;0600;34;;;
190621;0700;34;;;
190621;0800;25;;;
190621;0900;16;;;
190621;1000;20;;;
190621;1100;14;;;
190621;1200;23;;;
190621;1300;15;;;
190621;1400;17;;;
190621;1500;21;;;
190621;1600;16;;;
190621;1700;33;;;
190621;1800;70;;;
190621;1900;103;;;
190621;2000;70;;;
190621;2100;61;;;
190621;2200;81;;;
190621;2300;81;;;
190622;0000;51;;;
