FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140823;0000;13,25;;;
140824;0000;34,6666;;;
140825;0000;51,8333;;;
140826;0000;68,9583;;;
140827;0000;52,2083;;;
140828;0000;37,8571;;;
140829;0000;25,9167;;;
140830;0000;26,375;;;
140831;0000;24;;;
140901;0000;6,65217;;;
140902;0000;14,5417;;;
140903;0000;41,5833;;;
140904;0000;71,0833;;;
140905;0000;9,29166;;;
140906;0000;13,7917;;;
140907;0000;10,75;;;
140908;0000;19,9583;;;
140909;0000;30,7083;;;
140910;0000;98,0435;;;
140911;0000;89,1666;;;
140912;0000;33,5;;;
140913;0000;51,4166;;;
140914;0000;42,9166;;;
140915;0000;42,8333;;;
140916;0000;24,5417;;;
140917;0000;35,7083;;;
140918;0000;17;;;
140919;0000;28,2917;;;
140920;0000;17,75;;;
140921;0000;11,9167;;;
140922;0000;15,9583;;;
140923;0000;25,8695;;;
140924;0000;15,4762;;;
140925;0000;27,125;;;
140926;0000;26,5;;;
140927;0000;16,4167;;;
140928;0000;10,4583;;;
140929;0000;24,3333;;;
140930;0000;22,0417;;;
141001;0000;37,9583;;;
141002;0000;27,8333;;;
141003;0000;17,125;;;
141004;0000;19,4167;;;
141005;0000;40,4583;;;
141006;0000;31,6667;;;
141007;0000;12,5;;;
141008;0000;22,2609;;;
141009;0000;37,4166;;;
141010;0000;49,4782;;;
141011;0000;18,8333;;;
141012;0000;16,8333;;;
141013;0000;26,625;;;
141014;0000;20,875;;;
141015;0000;12,9583;;;
141016;0000;12,25;;;
141017;0000;13,0833;;;
141018;0000;24,4167;;;
141019;0000;15,125;;;
141020;0000;8,79166;;;
141021;0000;7,375;;;
141022;0000;6,70833;;;
141023;0000;8,54166;;;
141024;0000;10,75;;;
141025;0000;11,375;;;
141026;0000;5,29166;;;
141027;0000;10,1667;;;
141028;0000;6,56522;;;
141029;0000;5,83333;;;
141030;0000;16,4583;;;
141031;0000;22,875;;;
141101;0000;13,9439;;;
141102;0000;18,5679;;;
141103;0000;25,8393;;;
141104;0000;24,3936;;;
141105;0000;10,0228;;;
141106;0000;5,94224;;;
141107;0000;9,30174;;;
141108;0000;11,9885;;;
141109;0000;4,55379;;;
141110;0000;7,43378;;;
141111;0000;8,2106;;;
141112;0000;10,5855;;;
141113;0000;7,6535;;;
141114;0000;5,16924;;;
141115;0000;5,56932;;;
141116;0000;5,6095;;;
141117;0000;4,30676;;;
141118;0000;8,94923;;;
141119;0000;10,8764;;;
141120;0000;9,69873;;;
141121;0000;6,38862;;;
141122;0000;8,41237;;;
141123;0000;10,2974;;;
141124;0000;7,23;;;
141125;0000;9,63091;;;
141126;0000;6,98095;;;
141127;0000;8,90561;;;
141128;0000;13,8274;;;
141129;0000;8,17381;;;
141130;0000;7,22557;;;
141201;0000;7,00391;;;
141202;0000;7,51736;;;
141203;0000;7,05162;;;
141204;0000;8,68594;;;
141205;0000;5,43145;;;
141206;0000;11,0499;;;
141207;0000;7,80095;;;
141208;0000;6,18099;;;
141209;0000;7,71817;;;
141210;0000;8,2549;;;
141211;0000;7,12611;;;
141212;0000;7,02928;;;
141213;0000;8,9747;;;
141214;0000;8,06703;;;
141215;0000;7,24491;;;
141216;0000;6,27166;;;
141217;0000;6,69308;;;
141218;0000;6,99324;;;
141219;0000;7,5536;;;
141220;0000;8,31473;;;
141221;0000;8,86707;;;
141222;0000;5,69853;;;
141223;0000;5,7057;;;
141224;0000;6,71624;;;
141225;0000;5,85353;;;
141226;0000;6,49654;;;
141227;0000;6,12287;;;
141228;0000;6,30869;;;
141229;0000;7,24995;;;
141230;0000;6,87399;;;
141231;0000;38,1797;;;
150101;0000;15,9583;;;
150102;0000;6,04166;;;
150103;0000;5,20833;;;
150104;0000;5,20833;;;
150105;0000;5,08333;;;
150106;0000;6,45833;;;
150107;0000;8,25;;;
150108;0000;7,91666;;;
150109;0000;10,625;;;
150110;0000;6,33333;;;
150111;0000;7,75;;;
150112;0000;6,66666;;;
150113;0000;5,08333;;;
150114;0000;7,75;;;
150115;0000;8,41666;;;
150116;0000;6,16666;;;
150117;0000;5,04166;;;
150118;0000;5,54166;;;
150119;0000;6,13636;;;
150120;0000;8,33333;;;
150121;0000;8,25;;;
150122;0000;6,04166;;;
150123;0000;6,41666;;;
150124;0000;5,33333;;;
150125;0000;5,79166;;;
150126;0000;6,3913;;;
150127;0000;7,16666;;;
150128;0000;8,33333;;;
150129;0000;7,75;;;
150130;0000;7,29166;;;
150131;0000;5,5;;;
150201;0000;6,95833;;;
150202;0000;10,2083;;;
150203;0000;8,5;;;
150204;0000;8,95651;;;
150205;0000;7,45833;;;
150206;0000;6,25;;;
150207;0000;7,45833;;;
150208;0000;4,54166;;;
150209;0000;5,08333;;;
150210;0000;6,29166;;;
150211;0000;6,5;;;
150212;0000;6,95833;;;
150213;0000;8,5;;;
150214;0000;8,625;;;
150215;0000;5,70833;;;
150216;0000;7,25;;;
150217;0000;9,45833;;;
150218;0000;7,70833;;;
150219;0000;7,56522;;;
150220;0000;10,875;;;
150221;0000;11,4167;;;
150222;0000;7,13043;;;
150223;0000;9;;;
150224;0000;10,1304;;;
150225;0000;11,375;;;
150226;0000;19,8333;;;
150227;0000;22,7917;;;
150228;0000;15;;;
150301;0000;13,2917;;;
150302;0000;10,2083;;;
150303;0000;6,91666;;;
150304;0000;9,125;;;
150305;0000;9,16666;;;
150306;0000;5,45833;;;
150307;0000;6,625;;;
150308;0000;6,33333;;;
150309;0000;9,70833;;;
150310;0000;7,45833;;;
150311;0000;7,5;;;
150312;0000;9,25;;;
150313;0000;9,91666;;;
150314;0000;8,95833;;;
150315;0000;8,08333;;;
150316;0000;9,75;;;
150317;0000;8,04166;;;
150318;0000;9,875;;;
150319;0000;11,375;;;
150320;0000;7;;;
150321;0000;11,7083;;;
150322;0000;13,6087;;;
150323;0000;11,5417;;;
150324;0000;19,7391;;;
150325;0000;17,375;;;
150326;0000;17,2083;;;
150327;0000;21,2083;;;
150328;0000;13,125;;;
150329;0000;7;;;
150330;0000;8,66666;;;
150331;0000;13;;;
150401;0000;13,7083;;;
150402;0000;7,33333;;;
150403;0000;10,7083;;;
150404;0000;9,91304;;;
150405;0000;8,54166;;;
150406;0000;17,2083;;;
150407;0000;12,9167;;;
150408;0000;10,3333;;;
150409;0000;11,375;;;
150410;0000;14,375;;;
150411;0000;18,625;;;
150412;0000;27,7083;;;
150413;0000;12,7083;;;
150414;0000;22,0417;;;
150415;0000;46,7083;;;
150416;0000;33,2916;;;
150417;0000;37,7916;;;
150418;0000;32,5;;;
150419;0000;41,9565;;;
150420;0000;30;;;
150421;0000;70,625;;;
150422;0000;114,583;;;
150423;0000;90,8333;;;
150424;0000;68,0833;;;
150425;0000;27,3333;;;
150426;0000;60,5833;;;
150427;0000;40,5833;;;
150428;0000;30,1818;;;
150429;0000;21,4583;;;
150430;0000;54,8333;;;
150501;0000;50,5;;;
150502;0000;67,9166;;;
150503;0000;48,1666;;;
150504;0000;53,2916;;;
150505;0000;118,167;;;
150506;0000;122,708;;;
150507;0000;141,792;;;
150508;0000;25,8333;;;
150509;0000;22,125;;;
150510;0000;84,875;;;
150511;0000;55,6666;;;
150512;0000;47,4348;;;
150513;0000;75,9166;;;
150514;0000;81,9166;;;
150515;0000;24,2671;;;
150516;0000;15,7396;;;
150517;0000;28,4071;;;
150518;0000;44,8066;;;
150519;0000;29,1179;;;
150520;0000;20,1409;;;
150521;0000;30,0687;;;
150522;0000;19,0258;;;
150523;0000;89,1512;;;
150524;0000;92,8752;;;
150525;0000;171,822;;;
150526;0000;91,1948;;;
150527;0000;130,957;;;
150528;0000;50,7399;;;
150529;0000;41,6558;;;
150530;0000;26,6758;;;
150531;0000;21,246;;;
150601;0000;18,0624;;;
150602;0000;12,5436;;;
150603;0000;38,4684;;;
150604;0000;16,5857;;;
150605;0000;18,609;;;
150606;0000;20,3982;;;
150607;0000;38,794;;;
150608;0000;37,4991;;;
150609;0000;34,0074;;;
150610;0000;44,3449;;;
150611;0000;76,9662;;;
150612;0000;42,9108;;;
150613;0000;20,9821;;;
150614;0000;33,2324;;;
150615;0000;50,0866;;;
150616;0000;29,1058;;;
150617;0000;140,125;;;
150618;0000;123,372;;;
150619;0000;86,7236;;;
150620;0000;141,169;;;
150621;0000;94,3958;;;
150622;0000;145,813;;;
150623;0000;133,243;;;
150624;0000;41,4753;;;
150625;0000;24,4675;;;
150626;0000;83,1836;;;
150627;0000;71,2725;;;
150628;0000;185,289;;;
150629;0000;84,8932;;;
150630;0000;60,9199;;;
150701;0000;70,9282;;;
150702;0000;123,63;;;
150703;0000;88,7028;;;
150704;0000;79,2961;;;
150705;0000;23,372;;;
150706;0000;36,9984;;;
150707;0000;18,9808;;;
150708;0000;30,5007;;;
150709;0000;47,6411;;;
150710;0000;115,772;;;
150711;0000;48,8336;;;
150712;0000;47,109;;;
150713;0000;49,2891;;;
150714;0000;34,392;;;
150715;0000;17,3316;;;
150716;0000;25,5368;;;
150717;0000;30,6267;;;
150718;0000;32,895;;;
150719;0000;80,1102;;;
150720;0000;85,0591;;;
150721;0000;76,1228;;;
150722;0000;64,739;;;
150723;0000;84,0566;;;
150724;0000;81,3219;;;
150725;0000;14,7308;;;
150726;0000;10,7791;;;
150727;0000;19,5434;;;
150728;0000;41,9925;;;
150729;0000;37,5717;;;
150730;0000;42,3995;;;
150731;0000;12,5808;;;
150801;0000;15,232;;;
150802;0000;21,8758;;;
150803;0000;78,7722;;;
150804;0000;65,6544;;;
150805;0000;10,2523;;;
150806;0000;32,6511;;;
150807;0000;29,1797;;;
150808;0000;50,8383;;;
150809;0000;22,3727;;;
150810;0000;90,8942;;;
150811;0000;127,788;;;
150812;0000;132,458;;;
150813;0000;106,46;;;
150814;0000;36,3503;;;
150815;0000;66,2256;;;
150816;0000;117,067;;;
150817;0000;36,161;;;
150818;0000;37,955;;;
150819;0000;60,1257;;;
150820;0000;47,8731;;;
150821;0000;20,5829;;;
150822;0000;;25,3569;;
150823;0000;27,2701;;;
150824;0000;22,6399;;;
150825;0000;12,5226;;;
150826;0000;24,0666;;;
150827;0000;15,6062;;;
150828;0000;9,69427;;;
150829;0000;41,7234;;;
150830;0000;34,7824;;;
150831;0000;31,8575;;;
150901;0000;60,0396;;;
150902;0000;58,3127;;;
150903;0000;39,5513;;;
150904;0000;56,6511;;;
