FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140101;0000;17,3333;;;
140102;0000;12,9167;;;
140103;0000;17,8333;;;
140104;0000;16,5417;;;
140105;0000;15,0833;;;
140106;0000;17,375;;;
140107;0000;21,0833;;;
140108;0000;31,0417;;;
140109;0000;28,25;;;
140110;0000;18,5833;;;
140111;0000;21,875;;;
140112;0000;24,9167;;;
140113;0000;21,875;;;
140114;0000;23,375;;;
140115;0000;40,125;;;
140116;0000;47,1666;;;
140117;0000;39,875;;;
140118;0000;30,125;;;
140119;0000;26,875;;;
140120;0000;25,25;;;
140121;0000;16;;;
140122;0000;20,375;;;
140123;0000;8,04166;;;
140124;0000;;;83,5833;
140125;0000;13,5909;;;
140126;0000;15,5;;;
140127;0000;17,0417;;;
140128;0000;19;;;
140129;0000;22,25;;;
140130;0000;17,375;;;
140131;0000;13,875;;;
140201;0000;15,6667;;;
140202;0000;13,4167;;;
140203;0000;10,8333;;;
140204;0000;14,2083;;;
140205;0000;10,2083;;;
140206;0000;17,2917;;;
140207;0000;14,2083;;;
140208;0000;13,2083;;;
140209;0000;12,5417;;;
140210;0000;16,1667;;;
140211;0000;15,5;;;
140212;0000;23,5417;;;
140213;0000;43,0416;;;
140214;0000;55,9166;;;
140215;0000;40,5833;;;
140216;0000;30,25;;;
140217;0000;24,3333;;;
140218;0000;19,4167;;;
140219;0000;29,5;;;
140220;0000;30,9167;;;
140221;0000;27,5833;;;
140222;0000;27,25;;;
140223;0000;21,125;;;
140224;0000;39,25;;;
140225;0000;46,2916;;;
140226;0000;31,375;;;
140227;0000;26,9583;;;
140228;0000;35,375;;;
140301;0000;29,4167;;;
140302;0000;32,0833;;;
140303;0000;21,4167;;;
140304;0000;27,5417;;;
140305;0000;23,875;;;
140306;0000;33,0416;;;
140307;0000;29,9583;;;
140308;0000;37;;;
140309;0000;17,9167;;;
140310;0000;29,9583;;;
140311;0000;11,7083;;;
140312;0000;10,375;;;
140313;0000;15,625;;;
140314;0000;20,6667;;;
140315;0000;14;;;
140316;0000;13,1667;;;
140317;0000;14,7083;;;
140318;0000;20,9583;;;
140319;0000;24,4583;;;
140320;0000;24,1667;;;
140321;0000;39,7916;;;
140322;0000;33,75;;;
140323;0000;22,7917;;;
140324;0000;25;;;
140325;0000;42,9583;;;
140326;0000;60,5416;;;
140327;0000;43,0833;;;
140328;0000;35,8333;;;
