FECHA (YYMMDD);HORA (HHMM);;
190614;0800;1012,35;
190614;0900;1013,02;
190614;1000;1013,02;
190614;1100;1013,01;
190614;1200;1013;
190614;1300;1012,45;
190614;1400;1011,75;
190614;1500;1011;
190614;1600;1011;
190614;1700;1011,61;
190614;1800;1012,61;
190614;1900;1013,39;
190614;2000;1014,27;
190614;2100;1015,02;
190614;2200;1015,77;
190614;2300;1015,27;
190615;0000;1015,69;
190615;0100;1016,1;
190615;0200;1016,02;
190615;0300;1016,02;
190615;0400;1016,01;
190615;0500;1015,09;
190615;0600;1015,01;
190615;0700;1015,01;
190615;0800;1015,01;
190615;0900;1015,68;
190615;1000;1016,01;
190615;1100;1016,01;
190615;1200;1016,25;
190615;1300;1016,02;
190615;1400;1015,1;
190615;1500;1015,02;
190615;1600;1015,02;
190615;1700;1015,09;
190615;1800;1016,01;
190615;1900;1016,01;
190615;2000;1016,01;
190615;2100;1016,01;
190615;2200;1016,01;
190615;2300;1016,01;
190616;0000;1016,01;
190616;0100;1015,68;
190616;0200;1015,01;
190616;0300;1015;
190616;0400;1015;
190616;0500;1014,5;
190616;0600;1014,08;
190616;0700;1014;
190616;0800;1014;
190616;0900;1014,02;
190616;1000;1014,02;
190616;1100;1014,02;
190616;1200;1013,27;
190616;1300;1012,18;
190616;1400;1011,09;
190616;1500;1010,18;
190616;1600;1010,01;
190616;1700;1010,01;
190616;1800;1010,01;
190616;1900;1010,01;
190616;2000;1010,68;
190616;2100;1010,01;
190616;2200;1010,01;
190616;2300;1010,08;
