0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1.404700593863932e-08,2.9586842581011763e-08,1.027503927930155e-07,1.4889215193748157e-08,1.503039216532395e-08,1.8951445018009855e-09,3.645404082322208e-10,2.124199762136341e-07,6.374309224582564e-08,7.807332997409832e-08,1.7400317142127918e-07,6.259673018154007e-08,1.701117254708153e-07,1.4130556927299552e-07,6.502022154341844e-08,4.113262662277474e-07,-5.701651616325841e-13,6.70430837812602e-09,1.740260484696216e-08,-4.703556850754083e-13,-6.733515605101949e-16,2.203890329583478e-10,1.3425268640370662e-10,1.845116715485951e-08,5.056331417585725e-08,6.999428432789829e-09
1.5217680425763362e-08,3.205259331075085e-08,1.1131369997897911e-07,1.61300846026799e-08,1.628297494697181e-08,2.0530881235109697e-09,3.949215657486641e-10,2.3012325236416894e-07,6.905545298116782e-08,8.457990308334573e-08,1.885046960537636e-07,6.781357585437146e-08,1.8428899771060535e-07,1.530819088219878e-07,7.043903318622124e-08,4.4560644588692825e-07,-6.659710858398603e-13,7.263043316463879e-09,1.8852650952706026e-08,-5.493900221354629e-13,-7.941027548380289e-16,2.387563857770033e-10,1.4543861405798353e-10,1.9988902244060652e-08,5.4777306478969054e-08,7.582768605168016e-09
1.638834024080431e-08,3.451830745645073e-08,1.1987696140872775e-07,1.7370941479159194e-08,1.7535516049669387e-08,2.211031250556303e-09,4.2530258504633417e-10,2.4782643983145947e-07,7.436776049633257e-08,9.108637158935063e-08,2.0300611443811493e-07,7.303038244650349e-08,1.9846620132892175e-07,1.6485807729399438e-07,7.585779853212641e-08,4.798863807566765e-07,-7.894488285198133e-13,7.821770881442878e-09,2.0302516138319866e-08,-6.512518587740142e-13,-9.506585244193209e-16,2.5712360685766306e-10,1.5662292670600534e-10,2.15266284949967e-08,5.89912773582535e-08,8.166106586166673e-09
1.755658167026071e-08,3.697894365224876e-08,1.284223598729147e-07,1.8609226422503e-08,1.8785542545902517e-08,2.3686439265119226e-09,4.556201610202975e-10,2.654926816407002e-07,7.966905716771283e-08,9.757946356928396e-08,2.1747736473222105e-07,7.823633816684823e-08,2.1261381153513006e-07,1.7660999051601896e-07,8.126531026460006e-08,5.140949830562118e-07,-8.331535543571792e-13,8.379345229616253e-09,2.174985456232939e-08,-6.873056778839072e-13,-1.0063678671535317e-15,2.7545260791137594e-10,1.6778827449819508e-10,2.30611486982758e-08,6.319645461481735e-08,8.748225159951651e-09
1.872268886851747e-08,3.943509118705664e-08,1.369520744323295e-07,1.9845245581260646e-08,2.00333160350634e-08,2.5259669135044377e-09,4.858820643467064e-10,2.831264923989221e-07,8.496065354438338e-08,1.040607206778082e-07,2.319220890728817e-07,8.343275224517769e-08,2.2673544727512433e-07,1.8834046409034604e-07,8.666291803326635e-08,5.482408732189469e-07,-8.43596556497461e-13,8.93590138407593e-09,2.31947442605669e-08,-6.95920539124393e-13,-1.0197494510335038e-15,2.9374800803635907e-10,1.7893496361851823e-10,2.4592853175603413e-08,6.739391241057377e-08,9.329274263285355e-09
1.9893409344963567e-08,4.1900958374573863e-08,1.4551550570803764e-07,2.108612898058379e-08,2.128603231628016e-08,2.683910082187773e-09,5.16261194997375e-10,3.0083000590349203e-07,9.027318328838893e-08,1.1056757320548331e-07,2.4642392353146907e-07,8.864968458243201e-08,2.4091289504678165e-07,2.001172639706834e-07,9.208187407003281e-08,5.82521774903522e-07,-8.462126640714622e-13,9.494659755496567e-09,2.4645411241941272e-08,-6.959204125399592e-13,-7.113506592396246e-15,3.120994043565947e-10,1.9012629230294262e-10,2.613056575630338e-08,7.160795412238794e-08,9.912616318550755e-09
2.1060400881104467e-08,4.435897050571723e-08,1.5405166706398221e-07,2.2323084390330263e-08,2.2534761334669672e-08,2.8413518496904534e-09,5.465459617624313e-10,3.1847714213812554e-07,9.556878787271646e-08,1.170537537253576e-07,2.6087957513331445e-07,9.385003009001762e-08,2.5504520117420086e-07,2.118566423510457e-07,9.748356753775584e-08,6.166934941078819e-07,-8.466941902040008e-13,1.0051638102996493e-08,2.609145538357533e-08,-6.963180413765257e-13,-7.112991393364118e-15,3.304086470673209e-10,2.0128196020303735e-10,2.7663428067756467e-08,7.580858380482192e-08,1.0494104273264344e-08
2.223112288451042e-08,4.682483934780694e-08,1.626151228430715e-07,2.3563994255934482e-08,2.3787479047260356e-08,2.9992970786758398e-09,5.769275664470528e-10,3.3618070583721774e-07,1.0088132221137955e-07,1.2356066559422904e-07,2.753814451888384e-07,9.906700239160123e-08,2.6922269615001013e-07,2.236335446559735e-07,1.0290253086704296e-07,6.509744700347306e-07,-8.504442056398342e-13,1.0610396868696793e-08,2.754210281848521e-08,-6.99411585574956e-13,-7.117835127457089e-15,3.4877642658142794e-10,2.1247311525077383e-10,2.920119160893576e-08,8.002264508231855e-08,1.1077451654874549e-08
2.3400987651548885e-08,4.928889369511734e-08,1.7117240505316104e-07,2.4804000250874667e-08,2.5039238612629612e-08,3.157128991460499e-09,6.072873065675159e-10,3.538715160080566e-07,1.0618998766830944e-07,1.3006277664358993e-07,2.8987281554993226e-07,1.0428019605442017e-07,2.833899816292653e-07,2.3540178704994975e-07,1.0831756038980953e-07,6.852306355884901e-07,-8.976034194874121e-13,1.1168745914490532e-08,2.8991432785945752e-08,-7.383153568169249e-13,-7.178773396483825e-15,3.671309121963158e-10,2.2365375569346847e-10,3.073784558565339e-08,8.423367012898244e-08,1.1660379940693359e-08
2.45514780599631e-08,5.17121349508421e-08,1.7958802696392442e-07,2.6023473151198153e-08,2.6270242856782863e-08,3.3123484316651223e-09,6.371444855753299e-10,3.712694718072791e-07,1.1141074818248195e-07,1.3645718309841977e-07,3.041242635972822e-07,1.0940707802073373e-07,2.9732274371986526e-07,2.4697511227725083e-07,1.1364293136238224e-07,7.189196544317697e-07,-9.699223850733935e-13,1.1717847678766302e-08,3.0416607691530864e-08,-7.979762652874571e-13,-7.267694657871991e-15,3.8518153266093405e-10,2.3464782983048387e-10,3.224906068909909e-08,8.8374985413116e-08,1.2233659108277827e-08
