0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
3.499914561992964e-09,6.999574967638672e-09,2.797947064909535e-08,2.919892487105819e-09,2.9196529094826158e-09,3.1181202784431385e-25,4.168230909274892e-25,4.057924855752505e-08,1.3349480362821709e-08,1.5588972021211468e-08,4.0708966598596873e-08,1.5509542056518264e-08,4.1369270979938344e-08,2.055854679646506e-08,1.3399644151105832e-08,4.579535960108614e-09,-2.416047375943814e-13,1.9299445722062077e-09,4.5798385049791055e-09,-2.0051459506349624e-13,2.3412455772617002e-24,1.2137250610396352e-19,-1.6134578473859105e-14,3.859920487611899e-09,1.4619738957964174e-08,1.6199775586430494e-09
3.4999139695959296e-09,6.999572020524655e-09,2.797946697863815e-08,2.9198917416470314e-09,2.919650502815269e-09,3.3258915374571713e-25,4.445987847313178e-25,4.057924334710552e-08,1.3349476759750992e-08,1.558896489338848e-08,4.0708959433125316e-08,1.550953888119735e-08,4.1369265924993985e-08,2.0558536720192817e-08,1.339964168371589e-08,4.579532742592494e-09,-2.432799683715347e-13,1.9299441878832025e-09,4.579837385216235e-09,-2.0190493744353712e-13,2.5074710655778184e-24,1.2320168681832202e-19,-1.6246453558694515e-14,3.859919936282306e-09,1.4619737147926266e-08,1.61997740303674e-09
3.499913313349499e-09,6.9995708393107556e-09,2.7979461100458564e-08,2.9198864746201e-09,2.9196494979477043e-09,-2.6068753352792417e-16,-3.529505733302255e-16,4.0579233943528754e-08,1.334947489928397e-08,1.5588960779157675e-08,4.070895117824791e-08,1.5509530930148823e-08,4.136925748195586e-08,2.055853059930604e-08,1.3399639583504057e-08,4.579531017642876e-09,-2.437636353724176e-13,1.9299438851223035e-09,4.579836400367585e-09,-2.0190490403928207e-13,-8.86756842066362e-16,-2.8086007429670867e-15,-1.6246451801527858e-14,3.859912558581773e-09,1.4619732789924279e-08,1.6199765066387325e-09
3.49991328172266e-09,6.999570681970438e-09,2.7979460904500473e-08,2.9198864348216473e-09,2.9196493694607298e-09,-2.6068753131649974e-16,-3.5295057112337544e-16,4.057923366535527e-08,1.3349474706923487e-08,1.5588960398617992e-08,4.070895079569822e-08,1.5509530760625042e-08,4.1369257212082846e-08,2.0558530061354727e-08,1.339963945177521e-08,4.579530845866363e-09,-2.4385307248252016e-13,1.9299438646040963e-09,4.579836340585766e-09,-2.0197913155703824e-13,-8.867568321164023e-16,-2.808600627239343e-15,-1.625242457876965e-14,3.859912529147479e-09,1.4619732693290113e-08,1.619976498331236e-09
3.4999131062453976e-09,6.9995698089888245e-09,2.797945981725333e-08,2.9198862140052815e-09,2.9196486565680125e-09,-2.606875191411865e-16,-3.529505590052663e-16,4.057923212194707e-08,1.3349473639637206e-08,1.558895828724468e-08,4.070894867317265e-08,1.550952982004512e-08,4.136925571472867e-08,2.0558527076604204e-08,1.339963872089544e-08,4.57952989278756e-09,-2.4434930223711664e-13,1.9299437507615844e-09,4.579836008894406e-09,-2.0239097295037578e-13,-8.867567776936056e-16,-2.8085999868526244e-15,-1.6285563731064503e-14,3.859912365835252e-09,1.4619732157128425e-08,1.6199764522382067e-09
3.4999110083952406e-09,6.999559372395511e-09,2.7979446819091344e-08,2.919883574121079e-09,2.9196401338555687e-09,-2.6068737381148286e-16,-3.529504144360862e-16,4.057921367032827e-08,1.3349460880112026e-08,1.5588933045539912e-08,4.07089232981432e-08,1.5509518575306353e-08,4.136923781369285e-08,2.055849139358625e-08,1.3399629983150963e-08,4.579518498638565e-09,-2.5028177917212633e-13,1.9299423897622887e-09,4.579832043491776e-09,-2.0731458005889697e-13,-8.867561289493019e-16,-2.808592322264363e-15,-1.6681746024401613e-14,3.859910413419188e-09,1.4619725747255195e-08,1.6199759011908454e-09
3.4999079113398487e-09,6.9995439648354975e-09,2.7979427629880106e-08,2.919879676860493e-09,2.919627551763195e-09,-2.6068715927085204e-16,-3.529502010215369e-16,4.0579186430167094e-08,1.3349442043210474e-08,1.5588895781177847e-08,4.070888583694438e-08,1.550950197467847e-08,4.136921138636049e-08,2.0558438714705214e-08,1.3399617083613006e-08,4.579501677468166e-09,-2.590398943254136e-13,1.9299403805187023e-09,4.579826189370661e-09,-2.1458330703858383e-13,-8.867551712905431e-16,-2.808580772451579e-15,-1.7266630650851103e-14,3.859907531063643e-09,1.4619716284346598e-08,1.6199750876784439e-09
3.499905073704571e-09,6.999529847837457e-09,2.7979410047983768e-08,2.919876106047258e-09,2.9196160235699808e-09,-2.6068696269870036e-16,-3.5295000548054324e-16,4.0579161471677805e-08,1.3349424784124597e-08,1.558886163815015e-08,4.070885151355181e-08,1.5509486764543955e-08,4.136918717261681e-08,2.0558390448304055e-08,1.3399605264566689e-08,4.579486265290282e-09,-2.6706440798395484e-13,1.9299385395744087e-09,4.579820825607282e-09,-2.2124319429054706e-13,-8.867542938345683e-16,-2.808569872475462e-15,-1.780252446902124e-14,3.859904890138187e-09,1.4619707614063378e-08,1.6199743423067847e-09
3.4999015881895003e-09,6.999512507659302e-09,2.797938845180011e-08,2.9198717199565693e-09,2.9196018632734657e-09,-2.6068672125005e-16,-3.529497653000605e-16,4.057913081468027e-08,1.334940358446886e-08,1.5588819699630514e-08,4.070880935347095e-08,1.5509468081643283e-08,4.1369157430406754e-08,2.055833116178317e-08,1.3399590747016682e-08,4.5794673342561e-09,-2.769210586343581e-13,1.9299362783099393e-09,4.579814237205847e-09,-2.2942365918165753e-13,-8.867532160803991e-16,-2.8085561265306816e-15,-1.846077315076106e-14,3.8599016462383205e-09,1.4619696964185687e-08,1.61997342675214e-09
3.4999007850062774e-09,6.999508511873365e-09,2.7979383475279704e-08,2.919870709249345e-09,2.91959860024484e-09,-2.6068666559581117e-16,-3.529497099326657e-16,4.057912375022906e-08,1.3349398699324905e-08,1.5588810035526624e-08,4.0708799638305516e-08,1.550946377644633e-08,4.136915057675398e-08,2.0558317500086333e-08,1.3399587401662779e-08,4.5794629718820915e-09,-2.791923770745588e-13,1.9299357572354757e-09,4.579812719006933e-09,-2.3130872715680607e-13,-8.867529675962955e-16,-2.808552857499563e-15,-1.8612456782527345e-14,3.85990089872968e-09,1.4619694510078865e-08,1.6199732157760851e-09
3.4999006162701034e-09,6.999508208156942e-09,2.7979381963863905e-08,2.9198693549738817e-09,2.91959834187217e-09,-3.2771454725471255e-16,-4.4370137958130255e-16,4.057912133235111e-08,1.3349398220957976e-08,1.5588808977668407e-08,4.070879751578888e-08,1.5509461732047372e-08,4.1369148405856656e-08,2.0558315926274334e-08,1.3399586861650957e-08,4.57946252836045e-09,-2.7931673752112986e-13,1.9299356793886753e-09,4.579812465780154e-09,-2.3130871731676385e-13,-1.1147586604152456e-15,-3.5307416122415912e-15,-1.861245625748799e-14,3.8598990017503534e-09,1.4619693389535442e-08,1.619972985291166e-09
3.4999005321217104e-09,6.999507789523765e-09,2.797938144248047e-08,2.9198692490835045e-09,2.9195980000090286e-09,-3.277145399066361e-16,-4.437013722649273e-16,4.057912059221793e-08,1.3349397709147964e-08,1.558880796517319e-08,4.070879649794387e-08,1.5509461280997623e-08,4.13691476878085e-08,2.0558314494956505e-08,1.3399586511162655e-08,4.579462071320335e-09,-2.7955470054572715e-13,1.929935624796403e-09,4.579812306720471e-09,-2.3150621342821956e-13,-1.1147586275384211e-15,-3.5307412553033163e-15,-1.862834794890071e-14,3.859898923434899e-09,1.461969313242192e-08,1.6199729631874845e-09
3.4998945906538312e-09,6.999478231078001e-09,2.7979344629143862e-08,2.919861772478709e-09,2.919573862067743e-09,-3.277140225254553e-16,-4.437008576087185e-16,4.0579068333610885e-08,1.3349361571780107e-08,1.5588736475892673e-08,4.070872463095005e-08,1.5509429433713895e-08,4.1369096988576867e-08,2.0558213433936547e-08,1.3399561764268157e-08,4.579429801197883e-09,-2.963565178928634e-13,1.9299317702038144e-09,4.5798010760279326e-09,-2.454508012837325e-13,-1.1147563181800561e-15,-3.530716064147822e-15,-1.975041310207595e-14,3.859893393813125e-09,1.4619674978400706e-08,1.6199714025121427e-09
3.4998896198168084e-09,6.999453501365796e-09,2.797931382970165e-08,2.9198555172907277e-09,2.9195536673640524e-09,-3.27713589661181e-16,-4.4370042702303997e-16,4.057902461206022e-08,1.3349331337914018e-08,1.5588676665299118e-08,4.0708664504293886e-08,1.5509402789067054e-08,4.1369054571659607e-08,2.0558128882505442e-08,1.3399541060097441e-08,4.579402802867864e-09,-3.1041353006477686e-13,1.929928545311808e-09,4.579791680027738e-09,-2.571173737122155e-13,-1.114754386063255e-15,-3.5306939209921313e-15,-2.0689175418393464e-14,3.8598887675205345e-09,1.4619659790050531e-08,1.6199700967909824e-09
3.4998870444747142e-09,6.999440689101633e-09,2.7979297872753196e-08,2.9198522765378895e-09,2.9195432046553893e-09,-3.2771336538759077e-16,-4.437002039265701e-16,4.057900196026663e-08,1.334931567399921e-08,1.5588645677930483e-08,4.070863335315023e-08,1.5509388984687975e-08,4.1369032595784514e-08,2.0558085077097682e-08,1.3399530333435635e-08,4.579388815268666e-09,-3.1769634988545695e-13,1.929926874523144e-09,4.579786812040625e-09,-2.6316173525857385e-13,-1.1147533849698353e-15,-3.5306819860083812e-15,-2.117554069074921e-14,3.859886370674775e-09,1.4619651921084358e-08,1.6199694203068663e-09
3.499884721829237e-09,6.9994291339774104e-09,2.7979283481498353e-08,2.919849353772322e-09,2.919533768550143e-09,-3.277131631176572e-16,-4.437000027175589e-16,4.057898153106276e-08,1.3349301547032844e-08,1.5588617731051722e-08,4.070860525855547e-08,1.5509376534793913e-08,4.136901277617839e-08,2.055804556988661e-08,1.3399520659278089e-08,4.57937620014955e-09,-3.242645739635868e-13,1.929925367673566e-09,4.579782421705397e-09,-2.6861302419433106e-13,-1.1147524820886968e-15,-3.5306710058955366e-15,-2.1614183826478952e-14,3.859884209007195e-09,1.4619644824219427e-08,1.6199688101991551e-09
3.4998825611755485e-09,6.99941838474333e-09,2.7979270093931754e-08,2.9198466348532127e-09,2.9195249905497475e-09,-3.2771297495316904e-16,-4.4369981553950146e-16,4.057896252665039e-08,1.3349288405328628e-08,1.558859173328142e-08,4.0708579123362546e-08,1.5509364953192934e-08,4.1368994338848936e-08,2.0558008818037898e-08,1.3399511659829546e-08,4.579364464862006e-09,-3.303747052670015e-13,1.929923965917396e-09,4.579778337569903e-09,-2.736841236032761e-13,-1.1147516421668304e-15,-3.530660610195463e-15,-2.2022234670198595e-14,3.85988219810064e-09,1.4619638222310095e-08,1.6199682426420378e-09
3.4998819586125556e-09,6.9994153869932065e-09,2.7979266360401912e-08,2.9198458766010796e-09,2.9195225425383857e-09,-3.2771292246281327e-16,-4.436997633191962e-16,4.0578957226692134e-08,1.3349284740366166e-08,1.5588584483015944e-08,4.070857183476982e-08,1.550936172331176e-08,4.1368989197038655e-08,2.0557998568669463e-08,1.3399509150060014e-08,4.579361192121645e-09,-3.32078700729021e-13,1.9299235749952865e-09,4.579777198584911e-09,-2.7509835426491574e-13,-1.1147514078054509e-15,-3.5306576636893897e-15,-2.213603204080942e-14,3.8598816372982296e-09,1.4619636381166854e-08,1.6199680843614585e-09
