0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
9.17867585314139e-17,9.608471419745218e-17,1.399393827190546e-16,6.775953550339394e-17,6.576990343535271e-17,2.210105476239233e-17,1.4180137901997498e-16,2.066755028748102e-17,8.69104417854729e-17,2.930464952881874e-17,1.2937809636590217e-16,8.031534560802684e-17,7.150819290026468e-17,6.465184528783684e-17,1.360891659045862e-16,1.1959630340093483e-16,1.1366596639413733e-16,8.311126744980852e-17,7.416952005131331e-17,6.450616574420445e-17,4.253612296153165e-17,1.1692285201956225e-16,6.034107256682447e-17,1.1437392750720578e-16,2.112957725525758e-17,5.5383077019302116e-17,6.928798263299074e-17,6.30246340060818e-17,1.8385659738872852e-16,5.216254259293688e-17,3.545601302183624e-17,8.220814992915477e-17,5.4565624325093896e-17,4.2060004722855346e-17,7.633292409755526e-17,1.606038886099709e-17,3.399391526074226e-17,3.137028459419567e-17,9.246281296591677e-17,2.6231938962493677e-17,1.2866898392973172e-16,9.576272092592759e-17,7.225565180358651e-17,7.368225392215817e-17,9.782863519864928e-17,1.5688763096900824e-16,1.3388368271985482e-16,1.113985005418643e-16,5.674448829724666e-17,9.367072075822192e-17,3.0386598834140695e-17,8.02623537651254e-17,9.265624960335114e-17,7.889542745910308e-17,6.099547404547762e-17,1.5661329156510818e-17,4.2507293982367534e-17,5.501737747798681e-17,4.004502165369532e-17,2.0783936146828443e-17,9.911594342465923e-17,9.622614409724167e-17,4.777188021363272e-17,4.085252737134119e-17,9.419461539116935e-17,7.499924736741808e-17
9.17867585314139e-17,9.608471419745218e-17,1.399393827190546e-16,6.775953550339394e-17,6.576990343535271e-17,2.210105476239233e-17,1.4180137901997498e-16,2.066755028748102e-17,8.69104417854729e-17,2.930464952881874e-17,1.2937809636590217e-16,8.031534560802684e-17,7.150819290026468e-17,6.465184528783684e-17,1.360891659045862e-16,1.1959630340093483e-16,1.1366596639413733e-16,8.311126744980852e-17,7.416952005131331e-17,6.450616574420445e-17,4.253612296153165e-17,1.1692285201956225e-16,6.034107256682447e-17,1.1437392750720578e-16,2.112957725525758e-17,5.5383077019302116e-17,6.928798263299074e-17,6.30246340060818e-17,1.8385659738872852e-16,5.216254259293688e-17,3.545601302183624e-17,8.220814992915477e-17,5.4565624325093896e-17,4.2060004722855346e-17,7.633292409755526e-17,1.606038886099709e-17,3.399391526074226e-17,3.137028459419567e-17,9.246281296591677e-17,2.6231938962493677e-17,1.2866898392973172e-16,9.576272092592759e-17,7.225565180358651e-17,7.368225392215817e-17,9.782863519864928e-17,1.5688763096900824e-16,1.3388368271985482e-16,1.113985005418643e-16,5.674448829724666e-17,9.367072075822192e-17,3.0386598834140695e-17,8.02623537651254e-17,9.265624960335114e-17,7.889542745910308e-17,6.099547404547762e-17,1.5661329156510818e-17,4.2507293982367534e-17,5.501737747798681e-17,4.004502165369532e-17,2.0783936146828443e-17,9.911594342465923e-17,9.622614409724167e-17,4.777188021363272e-17,4.085252737134119e-17,9.419461539116935e-17,7.499924736741808e-17
9.236210947610663e-17,9.689657439270283e-17,1.4087123281079205e-16,6.829086359638472e-17,6.637831366592122e-17,2.250746196496287e-17,1.4252037118593434e-16,2.1238929584571804e-17,8.755258146504537e-17,2.984889454940971e-17,1.3035614963094515e-16,8.10054996676646e-17,7.185407807512531e-17,6.541607036285672e-17,1.3720791135360295e-16,1.203956563793695e-16,1.143204885993885e-16,8.363049739822517e-17,7.461787579250969e-17,6.48192028176633e-17,4.315078562646989e-17,1.175108781281774e-16,6.091250205933952e-17,1.1491598688895935e-16,2.147134283423732e-17,5.572132520762699e-17,6.995705211818208e-17,6.365296119862811e-17,1.8502595697254273e-16,5.2956212982284535e-17,3.595902265793825e-17,8.288383568420228e-17,5.4929977371513045e-17,4.2311848800295606e-17,7.681457264427277e-17,1.6262666844480545e-17,3.438508450974597e-17,3.1763049018065995e-17,9.320667995812625e-17,2.673480459592288e-17,1.293944957581024e-16,9.654154025655965e-17,7.289543593609046e-17,7.421711729614384e-17,9.858742580799735e-17,1.5799777346613177e-16,1.3454637378575031e-16,1.1215096628282808e-16,5.756255304831968e-17,9.440757015267712e-17,3.063172732815536e-17,8.069077015986438e-17,9.319131796992089e-17,7.955336060100033e-17,6.145603645619147e-17,1.6086000936980337e-17,4.317486673873378e-17,5.59545908360422e-17,4.0545305581338227e-17,2.1159416656678928e-17,1.0017107212029439e-16,9.725140588676712e-17,4.828254491365135e-17,4.122518300408306e-17,9.473442425608343e-17,7.578396426010884e-17
9.272796705785527e-17,9.70946416285116e-17,1.4147547772705592e-16,6.82129607060568e-17,6.680658628233124e-17,2.2607347984213685e-17,1.429419676146405e-16,2.1629961187201338e-17,8.798155686683173e-17,3.0270915745694115e-17,1.310133402148808e-16,8.148374832675864e-17,7.205253362857717e-17,6.597772359392312e-17,1.3797536829787265e-16,1.2091444813347171e-16,1.1472456551012798e-16,8.396038582158016e-17,7.489953783906803e-17,6.49991181830645e-17,4.3614949587099717e-17,1.1785438879764205e-16,6.13165517199945e-17,1.1522388709433663e-16,2.1732803927337997e-17,5.593463245754892e-17,7.043203381041302e-17,6.410167905253956e-17,1.8577313345219817e-16,5.3559181366260435e-17,3.6337986217333924e-17,8.334733770848536e-17,5.5166372571884554e-17,4.2469555573507514e-17,7.71215899401156e-17,1.641270567931624e-17,3.467133810124705e-17,3.2054135354117127e-17,9.371426089074192e-17,2.7125809248694515e-17,1.297231709019046e-16,9.643292478902996e-17,7.33416427055932e-17,7.42652615379656e-17,9.91007593062359e-17,1.582984745175206e-16,1.349306958086978e-16,1.1149757447788312e-16,5.812947252999731e-17,9.463267379261335e-17,3.0799170488262996e-17,8.09476214911858e-17,9.301885762549086e-17,7.943860155398753e-17,6.176541158158017e-17,1.6424813188621296e-17,4.356329051777381e-17,5.662621947920257e-17,4.0507585250432813e-17,2.144982671464422e-17,1.006615395363956e-16,9.799232603526799e-17,4.845326341381156e-17,4.1486728101097965e-17,9.443443330687555e-17,7.628230054869309e-17
9.30866747452194e-17,0.0,1.4205680666322018e-16,0.0,6.718611016848396e-17,0.0,1.4339056288568928e-16,0.0,8.838215204261235e-17,3.0610308995916577e-17,1.3162336401169762e-16,8.191421689699021e-17,7.226832120621221e-17,6.645443232266442e-17,1.386731674961569e-16,1.2141291114309308e-16,1.1513280095996158e-16,8.428426092801979e-17,7.517916211886894e-17,6.519444475429113e-17,4.399827643879431e-17,1.1822122604626935e-16,6.16728902034296e-17,1.155619403920023e-16,2.194597980122422e-17,5.614565604055311e-17,7.084934800409893e-17,6.449352953601807e-17,1.8650227168589804e-16,5.4054105382958435e-17,3.66516256690772e-17,8.376871050713462e-17,5.5393595126540603e-17,4.262667138641612e-17,7.742205158258014e-17,1.653886338696129e-17,3.491528473549324e-17,3.229905791864619e-17,9.417804876806505e-17,2.743931505663028e-17,0.0,0.0,7.374058286341285e-17,0.0,9.957406641663138e-17,0.0,1.3534400678182363e-16,0.0,0.0,0.0,3.095233172635376e-17,8.121498862792494e-17,0.0,0.0,6.205284645766e-17,1.668963115403393e-17,0.0,0.0,0.0,2.1684022896229476e-17,0.0,9.863190325494727e-17,0.0,4.171916287341403e-17,0.0,0.0
9.335884951706277e-17,0.0,1.4249761352320602e-16,0.0,6.747396362506686e-17,0.0,1.4373061928385465e-16,0.0,8.868595289630743e-17,3.086772840766733e-17,1.320861358091628e-16,8.22407019551426e-17,7.243194547000829e-17,6.681605471019744e-17,1.3920247286513494e-16,1.2179110748624907e-16,1.1544244303391833e-16,8.452992786222302e-17,7.539124642837404e-17,6.534246804843987e-17,4.428913842124366e-17,1.1849938173621231e-16,6.194322642574111e-17,1.158183928076915e-16,2.2107732625534664e-17,5.630571541960466e-17,7.11659337042319e-17,6.479084727245682e-17,1.8705531092729772e-16,5.442959602107999e-17,3.688957346131689e-17,8.408839342502174e-17,5.55659870672289e-17,4.2745807220394965e-17,7.764991343187656e-17,1.6634542441411572e-17,3.51003633315096e-17,3.248490373636796e-17,9.452998693953562e-17,2.7677126907102652e-17,0.0,0.0,7.404345133097401e-17,0.0,9.993351526206624e-17,0.0,1.356577648725327e-16,0.0,0.0,0.0,3.1068547508839465e-17,8.14179465086791e-17,0.0,0.0,6.227094283425973e-17,1.689067195012593e-17,0.0,0.0,0.0,2.1861765873042325e-17,0.0,9.911723648145566e-17,0.0,4.189553108939166e-17,0.0,0.0
9.357157254348482e-17,0.0,1.428418848930323e-16,0.0,6.769893271310841e-17,0.0,1.43996099718399e-16,0.0,8.892331551300769e-17,3.106886241401952e-17,1.3244793701998382e-16,8.249582299844367e-17,7.255976257128335e-17,6.709877685517163e-17,1.3961620541243663e-16,1.2208680177004015e-16,1.156844118408121e-16,8.472193554775889e-17,7.555695130981855e-17,6.545795873753577e-17,4.451663440070348e-17,1.187166497430003e-16,6.215456654409574e-17,1.160187796894895e-16,2.2234171096253722e-17,5.643080885587318e-17,7.141343378801075e-17,6.502334732264555e-17,1.8748734547387368e-16,5.472317120987664e-17,3.7075585278505805e-17,8.433829507437307e-17,5.570078214896536e-17,4.28388705543457e-17,7.782795459645158e-17,1.6709296058311683e-17,3.524507582801176e-17,3.263020948951461e-17,9.480519155655361e-17,2.786293728923103e-17,0.0,0.0,7.428031489702557e-17,0.0,1.002145784986813e-16,0.0,1.3590302579198955e-16,0.0,0.0,0.0,3.1159419648918363e-17,8.157661541138016e-17,0.0,0.0,6.244147955031707e-17,1.7047932277286768e-17,0.0,0.0,0.0,2.2000795233278396e-17,0.0,9.949675836772671e-17,0.0,4.203338740766007e-17,0.0,0.0
9.37711108062163e-17,0.0,1.4316446747842103e-16,0.0,6.790986599579474e-17,0.0,1.4424465159292908e-16,0.0,8.91458021271884e-17,3.1257456043718004e-17,1.3278735051100074e-16,8.273501282934778e-17,7.267952216083377e-17,6.736397447076685e-17,1.4000423036005738e-16,1.2236431275234748e-16,1.1591131028798697e-16,8.490200580728932e-17,7.571232146926442e-17,6.556599918878266e-17,4.473018179790438e-17,1.1892021339776175e-16,6.235285648986282e-17,1.1620677382570874e-16,2.235285782156535e-17,5.654811085386559e-17,7.164563105038671e-17,6.524157003643025e-17,1.8789246898784184e-16,5.499865078630302e-17,3.725012141731578e-17,8.457278411676084e-17,5.582727258953158e-17,4.2926068179662404e-17,7.799483655672855e-17,1.6779373369537852e-17,3.5380868942587866e-17,3.2766614049059074e-17,9.506357429135868e-17,2.80372183475215e-17,0.0,0.0,7.450271346744681e-17,0.0,1.0047839897262576e-16,0.0,1.3613315958508411e-16,0.0,0.0,0.0,3.124472078534074e-17,8.172549012103363e-17,0.0,0.0,6.260155390593775e-17,1.7195651076668728e-17,0.0,0.0,0.0,2.213137935046158e-17,0.0,9.985308185077348e-17,0.0,4.2162796868109706e-17,0.0,0.0
9.39928032111088e-17,0.0,1.435227923683015e-16,0.0,6.81440975544349e-17,0.0,1.4452081653333306e-16,0.0,8.939293592876484e-17,3.146701748870454e-17,1.3316422042240702e-16,8.30007010257859e-17,7.281253703366975e-17,6.765838987038739e-17,1.4043512739913278e-16,1.2267258536265605e-16,1.1616338332190223e-16,8.510200694682953e-17,7.588497787408984e-17,6.568608713268921e-17,4.496725086948812e-17,1.1914633824469536e-16,6.257310148115991e-17,1.1641558173451672e-16,2.248458541030731e-17,5.667838780993541e-17,7.19034981016393e-17,6.548390961504654e-17,1.883428779138372e-16,5.5304609939405895e-17,3.7444018882919114e-17,8.483330562039062e-17,5.59677358531574e-17,4.302292146683162e-17,7.81801781925996e-17,1.685723027523412e-17,3.5531662659757236e-17,3.291811378396784e-17,9.53505881674455e-17,2.823096997699498e-17,0.0,0.0,7.474975693696125e-17,0.0,1.0077145917162768e-16,0.0,1.3638886473803048e-16,0.0,0.0,0.0,3.13394826064576e-17,8.189084702838067e-17,0.0,0.0,6.277936682739812e-17,1.7359752008298436e-17,0.0,0.0,0.0,2.2276447511861618e-17,0.0,1.0024896193121601e-16,0.0,4.2306692723961754e-17,0.0,0.0
9.39252738444599e-17,0.0,1.434471483187042e-16,0.0,6.819622605373553e-17,0.0,1.4432836301667707e-16,0.0,8.937864142071196e-17,3.163058101155261e-17,1.331548320825573e-16,8.303729597377374e-17,7.270708021216166e-17,6.779508254578251e-17,1.404712823535344e-16,1.226102858131833e-16,1.1604976608386981e-16,8.503980449631179e-17,7.582177916431596e-17,6.559120864229485e-17,4.5114925775586054e-17,1.1898544177995885e-16,6.262804652916953e-17,1.1624156660703182e-16,2.2576523585118942e-17,5.663286851903174e-17,7.197303343139403e-17,6.555748206480735e-17,1.8821616267097646e-16,5.550614290689642e-17,3.7562289380649225e-17,8.485523441270022e-17,5.593913743170257e-17,4.298572107432291e-17,7.81253863984789e-17,1.689753465921533e-17,3.5598201753972916e-17,3.299588498593499e-17,9.53673740808177e-17,2.838560565092616e-17,0.0,0.0,7.479308572905456e-17,0.0,1.0077484861606271e-16,0.0,1.36200002016115e-16,0.0,0.0,0.0,3.134553368142761e-17,8.179375477965628e-17,0.0,0.0,6.277509974846645e-17,1.7516469055445137e-17,0.0,0.0,0.0,2.2387544535145374e-17,0.0,1.0039591221891282e-16,0.0,4.2336878610694026e-17,0.0,0.0
